category,title,price,link,platform,price_clean
Комп'ютерна техніка,Ноутбук Acer Predator Helios Neo 16 AI PHN16-73-96M4 (NH.QX5EU.00K),88269,https://allo.ua/ua/products/notebooks/noutbuk-acer-predator-helios-neo-16-ai-phn16-73-96m4-nh-qx5eu-00k.html,Allo,88269.0
Комп'ютерна техніка,Ноутбук ASUS Vivobook Go 15 E1504FA-BQ1385 (90NB0ZR2-M02E10),20999,https://allo.ua/ua/products/notebooks/noutbuk-asus-vivobook-go-15-e1504fa-bq1385-90nb0zr2-m02e10.html,Allo,20999.0
Комп'ютерна техніка,Ноутбук CHUWI GemiBook XPro (N100/8/256GB) Win 11 + Рюкзак CHUWI Waterproof у Подарунок! (CW-112552),13959,https://allo.ua/ua/products/notebooks/noutbuk-chuwi-gemibook-xpro-n100-8-256gb-win-11-rjukzak-chuwi-waterproof-v-podarok-cw-112552.html,Allo,13959.0
Комп'ютерна техніка,Ноутбук Acer Extensa 15 EX215-55-55TW (NX.EGYEU.02P),18999,https://allo.ua/ua/products/notebooks/noutbuk-acer-extensa-15-ex215-55-55tw-nx-egyeu-02p.html,Allo,18999.0
Комп'ютерна техніка,Ноутбук Acer Aspire 3 A315-59-3946 (NX.K6TEU.01P),16999,https://allo.ua/ua/products/notebooks/noutbuk-acer-aspire-3-a315-59-3946-nx-k6teu-01p.html,Allo,16999.0
Комп'ютерна техніка,Ноутбук Acer Aspire 5 A515-58P-534D (NX.KHJEU.004),25999,https://allo.ua/ua/products/notebooks/noutbuk-acer-aspire-5-a515-58p-534d-nx-khjeu-004.html,Allo,25999.0
Комп'ютерна техніка,Ноутбук HP 15-fc0179ua (C16GMEA),23999,https://allo.ua/ua/products/notebooks/noutbuk-hp-15-fc0179ua-c16gmea.html,Allo,23999.0
Комп'ютерна техніка,"Ігровий ноутбук Acer Nitro 5 AN515-45 ""Open Box""",26999,https://allo.ua/ua/products/notebooks/igrovoj-noutbuk-acer-nitro-5-an515-45-open-box.html,Allo,26999.0
Комп'ютерна техніка,Ноутбук ASUS TUF Gaming FA506NC-HN016 (90NR0JF7-M004U0),36999,https://allo.ua/ua/products/notebooks/noutbuk-asus-tuf-gaming-fa506nc-hn016-90nr0jf7-m004u0.html,Allo,36999.0
Комп'ютерна техніка,Ноутбук LENOVO IdeaPad Slim 5 16ARP10 83HU001JRA,32999,https://allo.ua/ua/products/notebooks/noutbuk-lenovo-ideapad-slim-5-16arp10-83hu001jra.html,Allo,32999.0
Комп'ютерна техніка,Ноутбук ACER Extensa 15 EX215-55 (NX.EGYEU.01H),19999,https://allo.ua/ua/products/notebooks/noutbuk-acer-extensa-15-ex215-55-nx-egyeu-01h.html,Allo,19999.0
Комп'ютерна техніка,"Ноутбук ""Open Box"" ASUS TUF Gaming A15",36079,https://allo.ua/ua/products/notebooks/noutbuk-asus-tuf-gaming-a15-3.html,Allo,36079.0
