category,title,price,link
Комп'ютерна техніка,"Ноутбук ASUS TUF Gaming F16 (2025) FX608JHR-RV116 (90NR0NA1-M00620) Jaeger Gray / 16"" IPS WUXGA 165 Гц / Intel Core i5-14450HX / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce RTX 5050, 8 ГБ (TDP 115 Вт)","62 999
55 999",https://rozetka.com.ua/ua/asus-90nr0na1-m00620/p568851322/
Комп'ютерна техніка,"Ноутбук Lenovo LOQ 17IRX10 (83JH00BMRA) Luna Grey / 17.3"" IPS 165 Гц / Intel Core i7-14700HX / RAM 32 ГБ / SSD 1 ТБ / RTX 5070, 8 ГБ / 24-Zone RGB","99 999
84 999",https://rozetka.com.ua/ua/lenovo-83jh00bmra/p561688428/
Комп'ютерна техніка,Ноутбук HP 255R G10 (CV4P9AT) Turbo Silver / 15.6” SVA / AMD Ryzen 3 7335U / RAM 16 ГБ / SSD 512 ГБ,"22 999
27 999
21 849",https://rozetka.com.ua/ua/hp-cv4p9at/p567787420/
Комп'ютерна техніка,"Ноутбук Acer Nitro V 15 AI ANV15-42-R4KF (NH.U31EU.001) Obsidian Black / 15.6"" IPS 165 Гц / AMD Ryzen 7 7445HS / RAM 16 ГБ / SSD 512 ГБ / RTX 4050, 6 ГБ (TDP 75 Вт)","54 999
47 999",https://rozetka.com.ua/ua/acer-nhu31eu001/p572034181/
Комп'ютерна техніка,"Ноутбук ASUS TUF Gaming A16 (2025) FA608UH-RV066 (90NR0KS1-M005Y0) Jaeger Gray / 16"" IPS WUXGA 165 Гц / AMD Ryzen 7 260 / RAM 16 ГБ / SSD 512 ГБ / RTX 5050, 8 ГБ / Зарядка по USB","65 999
57 999",https://rozetka.com.ua/ua/asus-90nr0ks1-m005y0/p541336830/
Комп'ютерна техніка,"Ноутбук Apple MacBook Air 13.6"" M2 16/256GB 2024 (MC7W4UA/A) Starlight","44 499
48 999
42 274",https://rozetka.com.ua/ua/apple-mc7w4ua-a/p457367434/
Комп'ютерна техніка,"Ноутбук Lenovo IdeaPad Slim 3 16IRH10 (83K2007DRA) Luna Grey / 16"" IPS WUXGA / Intel Core i5-13420H / RAM 24 ГБ / SSD 512 ГБ","38 499
30 499",https://rozetka.com.ua/ua/lenovo-83k2007dra/p564701270/
Комп'ютерна техніка,"Ноутбук HP Laptop 17-cp3018ua (CS8C8EA) Jet Black / 17.3"" IPS / AMD Ryzen 7 7730U / RAM 16 ГБ / SSD 1 ТБ","37 599
38 999
35 719",https://rozetka.com.ua/ua/hp-cs8c8ea/p557686359/
Комп'ютерна техніка,"Ноутбук Acer Nitro V 15 ANV15-52-51Q2 (NH.QZ7EU.00J) Obsidian Black / 15.6” IPS Full HD 165 Гц / Intel Core i5-13420H / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce RTX 5050, 8 ГБ (TDP 75 Вт)","57 999
48 999",https://rozetka.com.ua/ua/acer-nhqz7eu00j/p557010051/
Комп'ютерна техніка,"Ноутбук ASUS Vivobook 18 M1807HA-S8025 (90NB15P1-M004F0) Quiet Blue / 18.4"" IPS WUXGA 144 Гц / AMD Ryzen 7 260 / RAM 16 ГБ / SSD 1 ТБ / Підсвітка клавіатури / Зарядка по USB","44 999
39 999",https://rozetka.com.ua/ua/asus-90nb15p1-m004f0/p525469469/
Комп'ютерна техніка,Ноутбук Lenovo IdeaPad Slim 3 15ARP10 (83K700H0RA) Luna Grey,"37 999
30 999",https://rozetka.com.ua/ua/lenovo-83k700h0ra/p579060184/
Комп'ютерна техніка,"Ноутбук HP 250R G9 (C68X4AT) Dark Ash Silver / 15.6"" IPS / Intel Core 5 120U / RAM 16 ГБ / SSD 512 ГБ","27 999
30 999
26 599",https://rozetka.com.ua/ua/hp-c68x4at/p567787081/
Комп'ютерна техніка,"Ноутбук Acer Nitro V 16 AI ANV16-42-R6XT (NH.U1FEU.009) Shale Black / 16"" IPS WUXGA 180 Гц / AMD Ryzen 7 260 / RAM 16 ГБ / SSD 1 ТБ / RTX 5070, 8 ГБ","77 999
65 999",https://rozetka.com.ua/ua/acer-nhu1feu009/p529096579/
Комп'ютерна техніка,"Ноутбук ASUS VivoBook 16 X1605VAP-MB024 (90NB13W2-M000V0) Cool Silver / 16"" IPS WUXGA / Intel Core 5 120U / RAM 16 ГБ / SSD 512 ГБ","36 999
26 999",https://rozetka.com.ua/ua/asus-90nb13w2-m000v0/p443457086/
Комп'ютерна техніка,"Ноутбук Lenovo IdeaPad Slim 5 16IRH10 (83HS00AWRA) Luna Grey / 16"" IPS WUXGA / Intel Core i5-13420H / RAM 16 ГБ / SSD 512 ГБ / Підсвітка клавіатури / Зарядка по USB","40 999
33 999",https://rozetka.com.ua/ua/lenovo-83hs00awra/p564691742/
Комп'ютерна техніка,"Ноутбук HP Laptop 17-cn4043ua (CS8C0EA) Natural Silver / 17.3"" IPS / Intel Core 5 120U / RAM 16 ГБ / SSD 512 ГБ","30 999
34 999
29 449",https://rozetka.com.ua/ua/hp-cs8c0ea/p557686386/
Комп'ютерна техніка,"Ноутбук Acer Nitro V 15 ANV15-52-9454 (NH.QZ8EU.00D) Obsidian Black / 15.6” IPS Full HD 165 Гц / Intel Core i9-13900H / RAM 16 ГБ / SSD 1 ТБ / nVidia GeForce RTX 5060, 8 ГБ","65 999
60 999",https://rozetka.com.ua/ua/acer-nhqz8eu00d/p529062364/
Комп'ютерна техніка,"Ноутбук ASUS Vivobook 15 X1504VA-BQ978 (90NB10J2-M016N0) Cool Silver / 15.6"" IPS Full HD / Intel Core i3-1315U / RAM 12 ГБ / SSD 512 ГБ","26 999
21 999",https://rozetka.com.ua/ua/asus-90nb10j2-m016n0/p443993942/
Комп'ютерна техніка,"Ноутбук Lenovo IdeaPad Slim 3 15IRH10 (83K100UTRA) Luna Grey / 15.3"" IPS WUXGA / Intel Core i5-13420H / RAM 24 ГБ / SSD 1 ТБ","39 499
32 499",https://rozetka.com.ua/ua/lenovo-83k100utra/p564340413/
Комп'ютерна техніка,Ноутбук HP 250R G9 (CT9L6AT) Dark Ash Silver / 15.6” SVA / Intel Core 5 120U / RAM 16 ГБ / SSD 512 ГБ,"27 999
30 999
26 599",https://rozetka.com.ua/ua/hp-ct9l6at/p567787060/
Комп'ютерна техніка,"Ноутбук Acer Nitro V 16 AI ANV16-42-R09L (NH.U1JEU.006) Shale Black / 16"" IPS WUXGA 180 Гц / AMD Ryzen 5 240 / RAM 16 ГБ / SSD 512 ГБ / nVidia GeForce RTX 4050, 6 ГБ","55 999
48 999",https://rozetka.com.ua/ua/acer-nh-u1jeu-006/p581193982/
Комп'ютерна техніка,"Ноутбук ASUS TUF Gaming A15 FA506NCG-HN208 (90NR0JF7-M00ND0) Graphite Black / 15.6"" IPS Full HD 144 Гц / AMD Ryzen 7 7445HS / RAM 16 ГБ / SSD 1 ТБ / NVIDIA GeForce RTX 3050, 4 ГБ","47 999
41 999",https://rozetka.com.ua/ua/asus-90nr0jf7-m00nd0/p568824946/
Комп'ютерна техніка,"Ноутбук Lenovo LOQ 15ARP10E (83S00083RA) Luna Grey / 15.6"" IPS 144 Гц / AMD Ryzen 5 7535HS / RAM 16 ГБ / SSD 1 ТБ / RTX 3050, 6 ГБ","50 999
41 999",https://rozetka.com.ua/ua/lenovo-83s00083ra/p574811887/
